ID	Block	Trial	TTrial	Task	CorrectKey	RT	Resp	Error	imageShown	totalEarned	LeftCorrect	RightCorrect	Response	DelayStep	totalTime	RTBASELINE	DELAY	DelayArea	blockType	LEFTREWARD	RIGHTREWARD	LeftTask	RightTask	CURRENTTASKSQUARE	LeftPos	RightPos	LeftImg	RightImg
68	5	157	0	 	0	NaN	NaN	NaN	 	0	DOWNRIGHT 	DOWNRIGHT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	DOWNLEFT 	DOWNLEFT 	DOWNRIGHT 	DOWNRIGHT 
68	5	158	0	 	0	NaN	NaN	NaN	 	0	UPRIGHT 	UPLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	UPLEFT 	DOWNLEFT 	UPRIGHT 	UPLEFT 
68	5	159	0	 	0	NaN	NaN	NaN	 	0	UPLEFT 	DOWNLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	UPRIGHT 	UPRIGHT 	UPLEFT 	DOWNLEFT 
68	5	160	0	 	0	NaN	NaN	NaN	 	0	UPRIGHT 	DOWNRIGHT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	DOWNRIGHT 	DOWNLEFT 	UPRIGHT 	DOWNRIGHT 
68	5	161	0	 	0	NaN	NaN	NaN	 	0	DOWNRIGHT 	DOWNRIGHT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	UPRIGHT 	DOWNLEFT 	DOWNRIGHT 	DOWNRIGHT 
68	5	162	0	 	0	NaN	NaN	NaN	 	0	UPRIGHT 	DOWNRIGHT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	UPLEFT 	UPRIGHT 	UPRIGHT 	DOWNRIGHT 
68	5	163	0	 	0	NaN	NaN	NaN	 	0	UPRIGHT 	DOWNLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	DOWNLEFT 	UPRIGHT 	UPRIGHT 	DOWNLEFT 
68	5	164	0	 	0	NaN	NaN	NaN	 	0	UPRIGHT 	DOWNRIGHT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	DOWNLEFT 	UPRIGHT 	UPRIGHT 	DOWNRIGHT 
68	5	165	0	 	0	NaN	NaN	NaN	 	0	DOWNRIGHT 	DOWNRIGHT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	UPLEFT 	DOWNLEFT 	DOWNRIGHT 	DOWNRIGHT 
68	5	166	0	 	0	NaN	NaN	NaN	 	0	DOWNLEFT 	DOWNLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	UPLEFT 	DOWNRIGHT 	DOWNLEFT 	DOWNLEFT 
